Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22,712.580017,714.619995,710.349976,712.940002,712.940002,85600
2021-04-23,710.479980,715.770020,709.440002,715.770020,715.770020,75000
2021-04-26,714.979980,716.690002,711.570007,715.460022,715.460022,78500
2021-04-27,715.409973,715.559998,709.719971,712.219971,712.219971,70300
2021-04-28,713.630005,714.200012,710.489990,711.840027,711.840027,68700
2021-04-29,715.780029,719.260010,709.969971,710.469971,710.469971,93500
2021-04-30,710.580017,711.820007,705.869995,707.559998,707.559998,80800
2021-05-03,709.929993,713.109985,705.989990,712.130005,712.130005,86700
2021-05-04,714.020020,714.250000,695.710022,696.979980,696.979980,90900
2021-05-05,703.780029,714.419983,702.919983,714.140015,714.140015,98700
2021-05-06,714.590027,715.919983,707.580017,712.460022,712.460022,83000
2021-05-07,717.320007,719.289978,712.500000,718.409973,718.409973,81800
2021-05-10,718.479980,718.479980,710.830017,711.909973,711.909973,76900
2021-05-11,700.609985,702.080017,689.510010,695.940002,695.940002,89900
2021-05-12,696.510010,698.989990,692.530029,694.760010,694.760010,95300
2021-05-13,686.859985,696.530029,677.880005,694.219971,694.219971,83600
2021-05-14,700.289978,703.330017,695.650024,703.330017,703.330017,74400
2021-05-17,704.820007,705.830017,699.789978,703.219971,703.219971,66500
2021-05-18,709.400024,710.150024,704.929993,705.010010,705.010010,73400
2021-05-19,697.340027,697.830017,685.969971,693.719971,693.719971,90900
2021-05-20,697.400024,704.289978,693.219971,704.090027,704.090027,64400
2021-05-21,705.770020,710.010010,702.919983,706.960022,706.960022,79900
2021-05-24,707.909973,710.659973,706.070007,710.460022,710.460022,35800
2021-05-25,713.789978,715.739990,712.250000,712.250000,712.250000,66800
2021-05-26,714.320007,715.520020,710.090027,711.169983,711.169983,71600
2021-05-27,708.880005,711.349976,706.140015,708.359985,708.359985,130100
2021-05-28,709.409973,715.320007,709.409973,713.280029,713.280029,68000900
2021-05-31,712.539978,714.570007,709.020020,709.359985,709.359985,32300
2021-06-01,712.809998,722.070007,712.809998,715.940002,715.940002,65200
2021-06-02,715.929993,719.049988,715.559998,718.929993,718.929993,64000
2021-06-03,718.239990,718.380005,712.419983,717.080017,717.080017,50800
2021-06-04,717.150024,720.880005,716.090027,720.179993,720.179993,64000
2021-06-07,719.869995,721.309998,716.080017,718.609985,718.609985,49100
2021-06-08,719.309998,723.039978,718.000000,719.429993,719.429993,102700
2021-06-09,719.890015,723.250000,718.700012,722.710022,722.710022,75700
2021-06-10,723.659973,727.140015,721.429993,725.450012,725.450012,79200
2021-06-11,726.700012,729.000000,724.989990,728.479980,728.479980,61800
2021-06-14,730.979980,734.640015,728.400024,730.099976,730.099976,72300
2021-06-15,733.969971,734.640015,730.849976,730.979980,730.979980,70800
2021-06-16,732.679993,734.869995,731.119995,733.500000,733.500000,63000
2021-06-17,728.750000,736.070007,728.469971,734.890015,734.890015,81000
2021-06-18,733.169983,735.630005,717.809998,719.630005,719.630005,158000
2021-06-21,715.159973,724.250000,713.940002,723.770020,723.770020,77100
2021-06-22,724.349976,729.760010,721.869995,728.590027,728.590027,71600
2021-06-23,731.570007,732.179993,725.049988,725.049988,725.049988,68400
2021-06-24,728.080017,733.739990,727.030029,732.700012,732.700012,68400
2021-06-25,734.010010,734.919983,731.289978,733.140015,733.140015,56900
2021-06-28,730.409973,734.690002,729.090027,730.859985,730.859985,57200
2021-06-29,731.469971,736.330017,731.140015,734.190002,734.190002,57600
2021-06-30,734.500000,735.630005,726.849976,729.520020,729.520020,75100
2021-07-01,734.710022,738.099976,726.219971,731.330017,731.330017,71700
2021-07-02,734.080017,736.349976,731.789978,733.549988,733.549988,54400
2021-07-05,732.169983,735.299988,730.000000,733.989990,733.989990,44200
2021-07-06,733.250000,733.250000,731.479980,731.479980,731.479980,71000
2021-07-07,733.989990,737.640015,733.989990,737.640015,737.640015,73000
2021-07-08,732.599976,733.010010,718.210022,723.109985,723.109985,84800
2021-07-09,726.940002,732.150024,725.530029,732.150024,732.150024,69600
2021-07-12,731.919983,739.400024,730.190002,738.440002,738.440002,53875900
2021-07-13,741.219971,742.859985,738.940002,742.859985,742.859985,56900
2021-07-14,740.960022,747.349976,740.849976,744.950012,744.950012,53800
2021-07-15,741.090027,744.530029,738.200012,739.419983,739.419983,59311100
2021-07-16,740.369995,740.559998,734.190002,736.520020,736.520020,74519400
2021-07-19,729.619995,729.799988,716.229980,721.090027,721.090027,89055600
2021-07-20,723.530029,727.840027,716.979980,722.030029,722.030029,73110500
2021-07-21,728.239990,735.109985,728.229980,733.739990,733.739990,68378200
2021-07-22,735.880005,741.130005,734.969971,739.030029,739.030029,59064000
2021-07-23,741.609985,749.780029,739.580017,749.419983,749.419983,55710400
2021-07-26,744.359985,746.640015,742.520020,745.099976,745.099976,72217600
2021-07-27,740.719971,741.940002,735.669983,737.239990,737.239990,32234500
2021-07-28,739.190002,747.820007,738.559998,747.659973,747.659973,63600
2021-07-29,750.960022,758.580017,750.909973,758.080017,758.080017,84100
2021-07-30,752.159973,759.349976,751.369995,754.309998,754.309998,78400
2021-08-02,760.479980,762.190002,754.869995,758.219971,758.219971,64600
2021-08-03,755.809998,760.750000,754.460022,760.080017,760.080017,67900
2021-08-04,763.659973,767.390015,763.059998,766.239990,766.239990,63000
2021-08-05,763.859985,771.559998,763.859985,768.229980,768.229980,61200
2021-08-06,768.030029,769.510010,766.869995,767.820007,767.820007,72100
2021-08-09,766.700012,772.929993,766.700012,771.799988,771.799988,55900
2021-08-10,773.539978,777.260010,773.200012,775.119995,775.119995,68600
2021-08-11,776.599976,778.729980,774.179993,775.840027,775.840027,70100
2021-08-12,775.159973,775.239990,775.159973,775.239990,775.239990,95700
2021-08-13,773.849976,775.500000,771.940002,774.830017,774.830017,66600
2021-08-16,769.640015,772.489990,767.140015,769.780029,769.780029,69500
2021-08-17,766.929993,772.080017,764.650024,770.789978,770.789978,118200
2021-08-18,770.979980,773.010010,768.900024,771.479980,771.479980,69000
2021-08-19,761.219971,766.270020,755.330017,765.830017,765.830017,94188000
2021-08-20,766.090027,772.919983,763.340027,771.409973,771.409973,58400
2021-08-23,777.140015,780.859985,773.239990,780.280029,780.280029,56800
2021-08-24,785.020020,785.609985,780.549988,783.150024,783.150024,58800
2021-08-25,783.559998,785.460022,781.239990,781.929993,781.929993,58100
